material_type,weight_g,moisture_pct,size_cm,is_contaminated,recyclable,recommended_bin
e-waste,187.11,9.35,13.77,0,0,hazardous
paper,152.96,42.71,3.37,0,1,recyclable
paper,161.51,12.88,11.36,0,1,recyclable
organic,215.84,94.76,4.58,0,0,organic
glass,116.03,47.52,6.29,0,1,recyclable
paper,80.81,31.73,7.55,1,1,recyclable
plastic,191.37,76.63,15.3,1,1,recyclable
e-waste,190.27,49.79,11.26,1,0,hazardous
e-waste,153.5,31.0,12.16,0,0,hazardous
organic,110.38,81.2,11.13,1,0,organic
metal,120.08,86.72,17.4,1,1,recyclable
organic,43.39,67.3,12.02,1,0,organic
metal,186.78,4.7,13.24,0,1,recyclable
organic,184.66,56.63,9.15,1,0,organic
organic,41.3,76.33,17.75,0,0,organic
organic,172.06,13.65,18.12,0,0,organic
metal,144.25,22.87,11.82,0,1,recyclable
metal,58.68,88.25,9.08,0,1,recyclable
organic,47.64,2.01,3.92,0,0,organic
paper,142.41,75.27,7.66,0,1,recyclable
glass,96.14,47.38,1.16,0,1,recyclable
glass,229.2,44.68,7.45,1,1,recyclable
glass,177.16,0.71,13.78,0,1,recyclable
metal,148.42,81.94,11.75,0,1,recyclable
metal,151.38,35.98,23.62,0,1,recyclable
paper,199.85,54.08,10.14,0,1,recyclable
glass,170.79,67.73,9.75,0,1,recyclable
glass,149.99,70.26,17.31,0,1,recyclable
organic,61.18,95.6,2.37,0,0,organic
metal,303.72,53.13,4.59,0,1,recyclable
glass,53.81,39.97,15.32,0,1,recyclable
e-waste,101.25,95.37,11.02,0,0,hazardous
paper,20.72,64.21,11.14,0,1,recyclable
e-waste,152.33,29.82,7.31,1,0,hazardous
e-waste,129.07,12.65,13.2,0,0,hazardous
paper,165.92,84.26,7.96,0,1,recyclable
e-waste,15.66,36.22,12.36,0,0,hazardous
glass,186.77,66.05,6.21,0,1,recyclable
metal,71.55,47.08,11.09,0,1,recyclable
paper,111.06,19.89,22.12,0,1,recyclable
organic,175.89,60.17,9.88,0,0,organic
e-waste,135.68,6.07,11.34,0,0,hazardous
paper,139.92,41.33,10.99,0,1,recyclable
plastic,167.95,54.66,12.87,0,1,recyclable
plastic,145.73,43.6,14.34,1,1,recyclable
metal,99.53,74.87,13.29,0,1,recyclable
glass,110.01,82.79,13.4,0,1,recyclable
metal,132.71,77.12,11.1,1,1,recyclable
metal,66.27,3.88,12.5,1,1,recyclable
metal,179.76,19.41,10.93,0,1,recyclable
metal,137.32,53.66,2.94,0,1,recyclable
organic,124.49,93.48,25.15,0,0,organic
organic,191.55,83.5,15.64,0,0,organic
paper,112.79,84.25,7.1,0,1,recyclable
plastic,109.05,30.32,13.15,0,1,recyclable
metal,90.92,42.94,5.27,0,1,recyclable
paper,140.58,47.07,9.53,0,1,recyclable
plastic,138.51,15.74,4.59,0,1,recyclable
e-waste,80.02,3.11,11.74,0,0,hazardous
glass,109.34,94.69,4.09,0,1,recyclable
organic,80.42,24.07,13.94,0,0,organic
e-waste,77.71,23.99,15.41,0,0,hazardous
plastic,16.21,8.34,7.87,0,1,recyclable
e-waste,106.15,92.85,12.8,1,0,hazardous
glass,17.87,57.97,7.6,0,1,recyclable
plastic,92.23,66.7,14.56,0,1,recyclable
e-waste,83.24,91.16,8.56,1,0,hazardous
organic,183.11,34.56,15.94,0,0,organic
organic,59.1,62.15,2.94,1,0,organic
paper,74.33,3.88,6.98,0,1,recyclable
e-waste,97.11,18.68,6.46,0,0,hazardous
metal,85.19,83.12,13.02,0,1,recyclable
e-waste,202.16,76.68,14.78,0,0,hazardous
plastic,51.69,35.06,13.4,0,1,recyclable
plastic,97.24,37.68,9.46,1,1,recyclable
e-waste,139.92,53.36,1.0,0,0,hazardous
glass,172.87,0.02,12.19,0,1,recyclable
organic,97.19,24.12,15.94,0,0,organic
plastic,5.0,20.82,25.4,0,1,recyclable
organic,110.99,25.05,9.88,0,0,organic
plastic,201.12,80.59,8.67,0,1,recyclable
paper,136.93,27.97,13.6,0,1,recyclable
metal,134.19,19.15,10.72,0,1,recyclable
plastic,56.22,50.43,18.38,0,1,recyclable
organic,50.06,86.56,7.96,1,0,organic
paper,121.08,24.13,10.76,0,1,recyclable
plastic,34.42,7.85,16.38,0,1,recyclable
glass,166.88,35.64,13.54,0,1,recyclable
metal,69.2,74.77,17.81,0,1,recyclable
plastic,118.52,55.07,9.82,0,1,recyclable
paper,6.85,81.68,18.32,1,1,recyclable
glass,96.37,95.96,3.68,0,1,recyclable
e-waste,48.85,79.27,3.88,0,0,hazardous
paper,5.0,60.38,18.4,0,1,recyclable
paper,152.51,49.33,12.04,0,1,recyclable
glass,218.47,4.01,16.6,0,1,recyclable
paper,187.77,98.43,12.5,1,1,recyclable
glass,160.9,38.35,11.96,0,1,recyclable
plastic,95.15,15.22,5.36,0,1,recyclable
glass,168.35,66.67,11.87,0,1,recyclable
glass,193.43,28.43,18.81,0,1,recyclable
metal,128.21,58.58,12.28,0,1,recyclable
glass,48.94,58.68,15.41,1,1,recyclable
glass,90.04,44.57,15.27,0,1,recyclable
e-waste,222.16,83.61,6.94,1,0,hazardous
plastic,115.52,26.5,16.29,0,1,recyclable
metal,5.0,44.86,10.43,0,1,recyclable
e-waste,31.86,53.77,10.7,0,0,hazardous
organic,94.53,66.36,22.49,0,0,organic
plastic,182.15,78.4,14.99,1,1,recyclable
plastic,103.61,39.48,8.81,0,1,recyclable
organic,183.27,64.6,12.32,0,0,organic
glass,88.43,15.06,12.18,1,1,recyclable
e-waste,5.0,93.26,20.43,0,0,hazardous
paper,90.51,38.31,12.2,1,1,recyclable
metal,140.7,72.95,23.04,0,1,recyclable
paper,135.72,2.03,5.52,0,1,recyclable
organic,44.69,20.52,11.84,1,0,organic
plastic,98.93,48.71,8.19,0,1,recyclable
plastic,281.08,87.83,9.53,1,1,recyclable
metal,46.0,52.73,9.63,0,1,recyclable
plastic,159.64,92.99,8.44,1,1,recyclable
plastic,5.0,48.38,20.65,0,1,recyclable
metal,171.83,49.04,19.11,0,1,recyclable
e-waste,66.46,11.97,14.01,1,0,hazardous
e-waste,144.13,80.27,9.63,0,0,hazardous
metal,42.51,24.7,8.58,0,1,recyclable
organic,137.45,89.96,15.71,1,0,organic
plastic,65.48,91.08,13.5,0,1,recyclable
plastic,77.1,94.33,11.28,1,1,recyclable
organic,146.52,52.02,14.71,0,0,organic
e-waste,94.18,67.71,16.46,0,0,hazardous
glass,142.82,77.85,11.23,0,1,recyclable
glass,108.55,13.1,8.06,0,1,recyclable
glass,124.05,60.1,5.39,0,1,recyclable
e-waste,146.71,3.43,13.25,0,0,hazardous
e-waste,99.0,49.76,22.84,0,0,hazardous
organic,60.24,15.48,6.45,0,0,organic
plastic,88.06,18.29,17.5,0,1,recyclable
organic,191.71,36.5,8.62,1,0,organic
organic,126.97,43.24,9.63,0,0,organic
e-waste,69.31,62.32,16.57,0,0,hazardous
glass,144.09,7.44,10.72,1,1,recyclable
paper,148.1,50.37,13.24,0,1,recyclable
plastic,151.2,18.26,13.15,1,1,recyclable
e-waste,61.33,57.4,8.63,0,0,hazardous
glass,79.06,63.74,16.48,0,1,recyclable
paper,79.39,55.67,11.69,0,1,recyclable
paper,98.36,73.83,5.06,0,1,recyclable
e-waste,152.34,33.56,7.54,0,0,hazardous
metal,137.77,76.51,1.0,1,1,recyclable
plastic,142.51,43.28,12.26,0,1,recyclable
paper,201.24,48.42,18.52,0,1,recyclable
e-waste,161.33,64.81,6.76,0,0,hazardous
e-waste,111.49,1.84,14.93,0,0,hazardous
glass,48.97,65.4,14.15,0,1,recyclable
metal,77.13,61.86,8.24,1,1,recyclable
plastic,104.3,30.98,19.68,0,1,recyclable
organic,169.75,8.58,10.64,0,0,organic
glass,118.36,9.09,22.05,0,1,recyclable
paper,80.63,92.32,3.82,1,1,recyclable
paper,76.03,68.93,10.65,1,1,recyclable
glass,115.83,12.71,11.25,0,1,recyclable
e-waste,173.4,35.67,11.8,1,0,hazardous
paper,215.46,59.25,15.58,0,1,recyclable
metal,107.65,83.56,28.99,1,1,recyclable
plastic,117.32,4.37,14.28,0,1,recyclable
metal,47.16,23.66,12.12,0,1,recyclable
paper,236.35,88.97,6.52,0,1,recyclable
organic,35.94,0.92,2.55,0,0,organic
plastic,190.3,20.14,17.85,0,1,recyclable
plastic,98.08,95.9,9.27,0,1,recyclable
glass,84.04,61.34,25.02,0,1,recyclable
glass,53.4,26.17,16.34,1,1,recyclable
organic,264.6,6.7,13.71,0,0,organic
e-waste,133.29,2.82,13.97,0,0,hazardous
plastic,121.28,24.47,14.02,0,1,recyclable
organic,173.2,88.15,8.53,1,0,organic
glass,80.95,41.59,3.24,1,1,recyclable
glass,120.11,72.03,9.25,0,1,recyclable
plastic,123.38,91.83,11.91,0,1,recyclable
metal,89.27,40.8,8.76,0,1,recyclable
paper,191.98,19.13,5.57,0,1,recyclable
glass,106.88,51.71,8.26,0,1,recyclable
e-waste,26.81,90.81,17.18,1,0,hazardous
e-waste,101.91,80.44,15.74,0,0,hazardous
glass,134.95,6.58,12.86,0,1,recyclable
metal,66.39,69.26,14.94,0,1,recyclable
metal,71.12,57.19,6.34,0,1,recyclable
organic,87.22,90.75,8.02,0,0,organic
e-waste,193.27,12.25,13.56,0,0,hazardous
organic,90.77,53.4,6.98,0,0,organic
e-waste,205.75,87.95,12.54,1,0,hazardous
paper,83.1,41.0,5.69,0,1,recyclable
paper,139.5,48.2,3.75,0,1,recyclable
plastic,93.23,7.05,15.68,1,1,recyclable
organic,165.24,27.81,17.14,0,0,organic
glass,52.9,32.45,8.85,0,1,recyclable
organic,164.57,94.51,4.4,0,0,organic
glass,126.83,28.27,1.0,0,1,recyclable
metal,81.6,46.09,21.21,0,1,recyclable
organic,110.03,67.13,12.56,0,0,organic
metal,212.03,16.22,8.96,0,1,recyclable
paper,128.27,48.64,10.18,0,1,recyclable
paper,77.84,73.85,2.43,0,1,recyclable
plastic,47.72,86.69,15.1,1,1,recyclable
organic,150.32,62.63,22.0,0,0,organic
metal,131.75,66.91,8.09,1,1,recyclable
glass,161.7,12.63,23.92,0,1,recyclable
paper,32.27,94.58,11.42,0,1,recyclable
paper,49.66,13.26,20.33,0,1,recyclable
glass,188.81,77.47,13.54,0,1,recyclable
metal,139.88,26.48,13.53,0,1,recyclable
metal,152.0,93.36,21.22,0,1,recyclable
organic,62.24,72.0,15.91,0,0,organic
organic,61.14,75.38,13.87,0,0,organic
e-waste,179.48,21.91,2.29,1,0,hazardous
e-waste,182.3,44.3,4.46,0,0,hazardous
plastic,54.7,61.78,14.29,0,1,recyclable
paper,43.24,77.0,19.34,0,1,recyclable
organic,113.48,10.4,12.64,1,0,organic
metal,72.04,96.24,9.04,1,1,recyclable
glass,70.79,89.02,2.8,1,1,recyclable
metal,44.92,27.03,8.08,0,1,recyclable
paper,91.89,82.28,12.65,0,1,recyclable
e-waste,50.72,51.83,7.72,0,0,hazardous
metal,54.28,46.18,7.18,0,1,recyclable
plastic,137.9,31.44,11.74,1,1,recyclable
paper,116.69,58.1,19.24,0,1,recyclable
e-waste,149.09,72.99,15.42,1,0,hazardous
glass,21.06,41.09,13.43,0,1,recyclable
e-waste,120.59,62.92,12.94,1,0,hazardous
plastic,244.54,69.93,14.76,0,1,recyclable
paper,97.66,71.11,11.45,0,1,recyclable
glass,169.48,5.2,9.94,0,1,recyclable
plastic,168.96,85.97,15.69,0,1,recyclable
e-waste,171.91,45.83,10.87,0,0,hazardous
plastic,130.0,26.24,6.06,0,1,recyclable
paper,153.97,24.18,19.22,0,1,recyclable
organic,161.94,48.3,2.65,0,0,organic
plastic,158.13,88.68,19.59,0,1,recyclable
plastic,52.95,37.83,14.53,0,1,recyclable
e-waste,17.56,74.97,7.15,1,0,hazardous
e-waste,26.78,9.68,12.12,1,0,hazardous
glass,103.79,47.61,9.86,0,1,recyclable
e-waste,155.64,99.17,16.04,0,0,hazardous
metal,53.74,77.04,15.94,0,1,recyclable
paper,175.44,21.05,14.31,0,1,recyclable
paper,89.86,50.14,15.73,0,1,recyclable
organic,90.43,23.36,11.43,0,0,organic
organic,69.83,40.96,20.81,0,0,organic
paper,6.91,78.01,18.12,0,1,recyclable
organic,133.76,77.12,9.61,0,0,organic
glass,222.76,22.81,16.05,0,1,recyclable
e-waste,116.24,92.22,15.62,0,0,hazardous
paper,8.96,59.26,10.7,0,1,recyclable
organic,166.82,37.99,10.31,0,0,organic
paper,22.51,50.19,18.07,0,1,recyclable
metal,47.46,60.51,11.93,0,1,recyclable
plastic,105.7,55.99,13.3,1,1,recyclable
e-waste,127.37,48.64,19.01,0,0,hazardous
paper,59.48,50.49,24.67,0,1,recyclable
plastic,103.36,17.64,9.37,0,1,recyclable
organic,162.91,81.27,10.9,0,0,organic
plastic,171.13,54.18,12.37,0,1,recyclable
e-waste,195.09,13.11,12.48,0,0,hazardous
paper,234.57,76.62,13.88,1,1,recyclable
metal,168.59,93.24,9.55,0,1,recyclable
organic,107.0,94.73,5.67,1,0,organic
paper,171.56,36.9,20.77,0,1,recyclable
e-waste,148.0,13.55,15.06,1,0,hazardous
organic,150.38,51.84,9.91,0,0,organic
glass,130.63,11.26,14.19,1,1,recyclable
plastic,65.28,93.4,21.16,0,1,recyclable
e-waste,58.31,18.36,8.06,0,0,hazardous
glass,114.17,25.28,13.06,0,1,recyclable
paper,128.93,40.66,5.05,1,1,recyclable
metal,79.23,38.32,11.41,1,1,recyclable
organic,145.4,79.47,15.08,0,0,organic
plastic,244.85,45.63,6.43,0,1,recyclable
organic,15.34,17.08,11.06,0,0,organic
paper,154.93,26.72,16.0,0,1,recyclable
organic,116.04,50.91,14.95,0,0,organic
plastic,147.04,14.75,6.21,0,1,recyclable
paper,94.16,61.17,13.87,1,1,recyclable
organic,111.24,56.57,14.79,0,0,organic
metal,127.77,71.47,12.54,0,1,recyclable
e-waste,101.9,93.77,17.45,0,0,hazardous
paper,28.77,91.23,9.05,0,1,recyclable
e-waste,105.97,94.61,14.06,0,0,hazardous
paper,35.01,24.47,6.17,0,1,recyclable
metal,159.19,13.16,4.0,0,1,recyclable
e-waste,8.07,30.23,15.91,1,0,hazardous
glass,181.72,89.51,12.1,1,1,recyclable
plastic,145.77,97.21,9.68,0,1,recyclable
glass,146.0,85.93,6.67,0,1,recyclable
organic,5.0,11.0,16.14,0,0,organic
metal,100.28,94.74,4.46,0,1,recyclable
glass,189.21,42.34,16.96,0,1,recyclable
paper,88.88,0.93,14.25,0,1,recyclable
organic,55.32,44.24,4.71,0,0,organic
organic,81.8,4.61,12.63,1,0,organic
glass,115.9,54.39,25.27,0,1,recyclable
glass,68.92,33.86,17.95,0,1,recyclable
metal,194.03,47.34,7.86,1,1,recyclable
plastic,116.12,61.32,15.58,0,1,recyclable
glass,86.67,86.88,4.92,0,1,recyclable
glass,41.92,66.19,5.14,0,1,recyclable
e-waste,149.07,43.4,11.66,1,0,hazardous
paper,147.7,81.94,14.76,0,1,recyclable
e-waste,72.47,90.56,16.06,1,0,hazardous
e-waste,5.0,11.98,16.13,0,0,hazardous
organic,144.65,53.19,14.47,0,0,organic
plastic,108.79,28.45,3.93,0,1,recyclable
paper,140.16,4.71,11.7,0,1,recyclable
metal,237.43,66.85,16.84,0,1,recyclable
metal,118.39,86.28,14.22,0,1,recyclable
glass,89.17,16.29,12.91,0,1,recyclable
glass,51.16,81.24,13.65,0,1,recyclable
metal,101.25,85.34,13.56,1,1,recyclable
glass,129.63,91.43,2.18,0,1,recyclable
plastic,123.2,26.53,17.77,1,1,recyclable
e-waste,223.41,90.4,11.45,0,0,hazardous
glass,149.95,32.07,15.54,0,1,recyclable
organic,111.91,55.23,1.0,0,0,organic
glass,77.61,5.05,20.3,0,1,recyclable
paper,136.0,4.39,6.22,0,1,recyclable
plastic,65.58,72.04,24.71,0,1,recyclable
paper,130.79,44.45,22.6,0,1,recyclable
paper,149.24,25.63,5.38,1,1,recyclable
organic,107.01,19.04,16.09,0,0,organic
plastic,82.18,67.0,6.91,0,1,recyclable
plastic,5.0,0.04,8.8,0,1,recyclable
plastic,188.63,80.59,8.92,0,1,recyclable
plastic,144.2,7.92,14.24,0,1,recyclable
plastic,145.66,19.15,13.62,0,1,recyclable
organic,26.32,38.62,5.99,0,0,organic
glass,202.79,48.49,14.2,0,1,recyclable
paper,92.09,35.5,10.98,0,1,recyclable
plastic,102.67,32.07,2.9,0,1,recyclable
glass,55.84,96.39,9.83,0,1,recyclable
glass,12.78,64.16,20.3,0,1,recyclable
paper,189.44,2.34,10.0,0,1,recyclable
organic,197.2,43.02,2.82,0,0,organic
metal,110.07,87.5,16.07,0,1,recyclable
metal,79.24,30.15,7.36,0,1,recyclable
glass,97.38,9.46,13.07,0,1,recyclable
e-waste,99.02,75.84,11.14,0,0,hazardous
e-waste,48.01,60.6,20.81,0,0,hazardous
paper,102.46,57.03,11.14,0,1,recyclable
metal,129.19,5.36,6.28,0,1,recyclable
glass,181.09,14.05,9.66,0,1,recyclable
organic,120.85,62.25,5.86,0,0,organic
metal,25.42,20.78,10.95,0,1,recyclable
glass,141.21,50.41,20.85,0,1,recyclable
glass,104.64,54.49,18.24,0,1,recyclable
plastic,202.22,28.35,22.21,0,1,recyclable
organic,205.77,94.84,14.4,0,0,organic
plastic,207.87,84.25,12.72,0,1,recyclable
paper,86.3,72.24,7.01,0,1,recyclable
plastic,239.39,7.8,13.35,0,1,recyclable
plastic,141.06,10.61,11.35,0,1,recyclable
metal,217.58,49.28,15.89,1,1,recyclable
e-waste,89.84,16.07,6.39,0,0,hazardous
glass,102.08,97.83,12.26,0,1,recyclable
organic,136.44,15.85,4.13,0,0,organic
plastic,129.11,48.75,13.69,1,1,recyclable
organic,195.29,36.41,15.38,1,0,organic
e-waste,106.07,63.94,3.89,0,0,hazardous
e-waste,189.88,12.9,5.3,1,0,hazardous
plastic,163.93,43.03,5.52,0,1,recyclable
paper,107.2,27.47,11.11,0,1,recyclable
plastic,159.28,88.78,5.01,0,1,recyclable
metal,91.6,4.06,18.89,0,1,recyclable
glass,261.01,91.37,14.18,0,1,recyclable
paper,5.0,83.3,15.0,0,1,recyclable
plastic,160.38,29.76,4.05,0,1,recyclable
organic,14.12,78.93,18.47,0,0,organic
paper,106.46,3.12,15.25,1,1,recyclable
paper,114.86,96.69,8.59,0,1,recyclable
plastic,210.46,52.66,4.29,0,1,recyclable
paper,78.47,30.33,11.62,0,1,recyclable
organic,198.48,36.26,9.67,0,0,organic
e-waste,49.27,6.64,9.88,0,0,hazardous
paper,200.8,98.93,8.47,1,1,recyclable
e-waste,91.54,3.93,15.61,1,0,hazardous
organic,124.41,65.49,1.0,1,0,organic
plastic,99.82,44.27,19.15,0,1,recyclable
glass,196.94,94.89,16.99,0,1,recyclable
paper,185.26,24.6,13.05,0,1,recyclable
glass,146.61,53.21,11.28,0,1,recyclable
organic,50.89,48.24,17.42,0,0,organic
paper,77.1,70.29,11.79,0,1,recyclable
e-waste,58.29,6.8,10.61,1,0,hazardous
metal,5.0,19.38,17.69,0,1,recyclable
glass,195.68,21.46,22.47,0,1,recyclable
paper,100.33,73.82,7.14,0,1,recyclable
glass,99.69,18.91,14.12,0,1,recyclable
paper,209.77,57.35,6.57,1,1,recyclable
plastic,91.44,21.52,14.51,0,1,recyclable
e-waste,69.57,86.16,8.11,0,0,hazardous
glass,106.52,94.22,18.06,0,1,recyclable
metal,52.04,51.85,11.5,0,1,recyclable
metal,140.66,35.23,12.23,0,1,recyclable
organic,97.58,23.41,20.16,1,0,organic
paper,89.56,4.98,8.33,0,1,recyclable
glass,84.37,26.85,15.42,0,1,recyclable
organic,113.63,65.42,8.83,0,0,organic
glass,125.01,53.36,17.98,0,1,recyclable
paper,88.8,94.4,20.93,0,1,recyclable
metal,98.47,39.63,10.69,0,1,recyclable
plastic,115.11,69.39,1.03,0,1,recyclable
metal,109.05,48.93,8.56,1,1,recyclable
organic,121.86,51.26,24.16,0,0,organic
e-waste,79.4,26.78,9.04,1,0,hazardous
plastic,180.28,45.5,20.86,1,1,recyclable
organic,125.81,47.08,8.97,0,0,organic
paper,89.77,70.66,8.85,0,1,recyclable
plastic,140.66,94.06,15.9,1,1,recyclable
organic,115.54,32.93,15.3,1,0,organic
paper,15.97,4.22,16.26,0,1,recyclable
metal,140.46,49.63,12.02,0,1,recyclable
e-waste,58.83,54.45,17.17,1,0,hazardous
paper,176.07,16.84,16.81,0,1,recyclable
glass,105.5,76.05,17.75,1,1,recyclable
paper,166.8,98.49,8.88,0,1,recyclable
paper,82.19,94.58,17.17,0,1,recyclable
e-waste,124.2,19.71,9.39,0,0,hazardous
glass,192.61,87.54,11.21,0,1,recyclable
organic,103.86,70.45,11.11,0,0,organic
organic,84.55,45.38,7.01,0,0,organic
paper,159.3,54.06,3.32,0,1,recyclable
glass,158.14,84.96,18.12,1,1,recyclable
glass,87.08,48.01,8.49,0,1,recyclable
e-waste,5.0,37.32,10.65,0,0,hazardous
metal,83.4,49.32,8.35,0,1,recyclable
organic,160.64,57.91,10.72,0,0,organic
e-waste,73.5,18.91,9.47,0,0,hazardous
plastic,119.34,90.09,18.4,0,1,recyclable
organic,80.55,67.42,9.05,0,0,organic
e-waste,5.0,63.33,20.57,0,0,hazardous
organic,79.47,9.95,17.7,0,0,organic
metal,160.39,60.42,9.63,0,1,recyclable
plastic,5.0,12.1,13.6,0,1,recyclable
metal,135.13,7.87,14.6,1,1,recyclable
plastic,48.84,52.73,16.21,1,1,recyclable
paper,156.51,40.28,16.7,1,1,recyclable
e-waste,162.86,58.88,12.93,1,0,hazardous
plastic,109.68,8.92,7.23,0,1,recyclable
metal,109.82,43.1,15.2,0,1,recyclable
organic,71.62,17.48,10.82,0,0,organic
plastic,39.26,98.71,1.0,1,1,recyclable
e-waste,221.89,56.12,13.95,1,0,hazardous
plastic,68.1,68.74,8.33,1,1,recyclable
glass,214.07,32.54,9.71,0,1,recyclable
organic,68.43,9.47,12.03,0,0,organic
e-waste,151.51,97.59,4.23,0,0,hazardous
e-waste,51.73,28.63,12.7,0,0,hazardous
paper,151.4,42.38,10.42,0,1,recyclable
metal,100.46,64.99,7.61,0,1,recyclable
paper,101.25,2.47,12.23,1,1,recyclable
e-waste,156.6,81.03,3.55,0,0,hazardous
organic,91.85,53.66,12.38,1,0,organic
plastic,34.31,27.82,14.35,0,1,recyclable
plastic,165.68,6.16,13.53,1,1,recyclable
organic,51.25,16.25,15.94,1,0,organic
e-waste,150.99,89.5,17.83,1,0,hazardous
plastic,178.38,68.6,11.59,0,1,recyclable
plastic,97.47,24.99,17.48,1,1,recyclable
plastic,190.94,6.56,11.57,0,1,recyclable
metal,148.91,69.06,8.5,0,1,recyclable
metal,78.25,57.24,10.04,0,1,recyclable
glass,204.09,40.45,13.33,1,1,recyclable
paper,51.5,36.36,17.43,0,1,recyclable
organic,97.4,21.68,12.01,1,0,organic
organic,107.62,66.96,8.63,0,0,organic
organic,156.31,97.07,19.22,0,0,organic
glass,186.93,17.57,4.83,1,1,recyclable
metal,183.17,59.71,8.66,0,1,recyclable
e-waste,133.42,42.42,16.46,1,0,hazardous
e-waste,103.18,44.67,20.83,0,0,hazardous
glass,10.44,25.41,14.4,0,1,recyclable
e-waste,41.15,82.51,13.25,0,0,hazardous
organic,226.0,48.53,10.55,0,0,organic
paper,9.84,54.34,14.74,0,1,recyclable
plastic,72.93,30.48,12.65,0,1,recyclable
metal,188.68,18.18,8.23,0,1,recyclable
metal,132.58,8.59,10.46,0,1,recyclable
glass,175.68,71.41,7.66,0,1,recyclable
metal,152.57,19.62,12.07,0,1,recyclable
organic,208.17,69.01,12.81,0,0,organic
e-waste,137.73,39.04,20.17,1,0,hazardous
organic,159.81,41.58,9.01,0,0,organic
glass,76.55,46.92,11.1,0,1,recyclable
organic,155.18,36.77,18.3,0,0,organic
e-waste,96.23,10.06,21.03,0,0,hazardous
paper,92.81,30.96,14.37,0,1,recyclable
glass,173.68,66.37,10.73,0,1,recyclable
paper,174.1,66.58,9.63,1,1,recyclable
plastic,221.31,28.62,2.78,0,1,recyclable
paper,217.4,46.01,7.36,0,1,recyclable
plastic,175.04,19.34,12.51,0,1,recyclable
plastic,16.77,21.04,11.1,0,1,recyclable
paper,229.66,2.3,15.12,0,1,recyclable
glass,175.08,89.67,11.02,0,1,recyclable
e-waste,74.05,21.07,8.37,0,0,hazardous
organic,163.73,22.75,13.71,0,0,organic
organic,57.76,27.96,24.53,1,0,organic
e-waste,157.12,12.74,10.41,0,0,hazardous
plastic,41.02,63.93,12.69,0,1,recyclable
plastic,71.51,7.51,16.23,0,1,recyclable
glass,162.6,13.42,9.14,0,1,recyclable
metal,184.37,64.48,18.36,0,1,recyclable
paper,139.53,33.97,4.1,0,1,recyclable
plastic,102.83,70.79,9.96,0,1,recyclable
organic,5.0,55.74,10.44,0,0,organic
glass,107.46,25.6,12.76,0,1,recyclable
paper,152.01,65.08,2.14,0,1,recyclable
glass,100.99,11.63,18.76,0,1,recyclable
paper,118.65,53.64,14.07,0,1,recyclable
paper,108.86,43.71,17.61,0,1,recyclable
e-waste,100.7,26.79,20.07,0,0,hazardous
plastic,124.55,60.4,8.3,0,1,recyclable
glass,103.64,87.13,1.0,0,1,recyclable
glass,206.6,99.89,17.73,0,1,recyclable
e-waste,5.0,60.78,10.57,0,0,hazardous
organic,87.25,40.47,6.33,0,0,organic
organic,67.78,22.52,14.88,0,0,organic
plastic,133.15,25.71,24.32,0,1,recyclable
plastic,124.63,47.95,11.46,1,1,recyclable
metal,217.33,36.73,16.76,0,1,recyclable
e-waste,237.07,91.38,7.06,0,0,hazardous
organic,73.61,36.83,3.57,0,0,organic
paper,120.03,37.34,16.57,0,1,recyclable
glass,131.78,38.35,14.73,0,1,recyclable
plastic,72.13,83.66,9.67,1,1,recyclable
glass,157.7,65.08,20.53,1,1,recyclable
glass,105.63,61.42,3.18,0,1,recyclable
metal,55.94,33.41,5.85,0,1,recyclable
organic,103.23,81.79,9.29,0,0,organic
plastic,60.14,3.84,10.22,0,1,recyclable
glass,182.2,87.08,19.33,0,1,recyclable
plastic,234.09,51.27,12.25,0,1,recyclable
paper,134.69,39.83,11.04,0,1,recyclable
metal,126.68,49.72,5.65,0,1,recyclable
paper,129.15,66.74,17.43,0,1,recyclable
plastic,190.93,1.28,6.32,1,1,recyclable
plastic,189.64,87.16,5.63,0,1,recyclable
organic,113.06,44.67,10.0,1,0,organic
glass,135.16,34.3,12.82,0,1,recyclable
glass,159.16,13.82,8.4,0,1,recyclable
paper,51.74,43.95,15.54,0,1,recyclable
metal,192.76,49.63,10.59,0,1,recyclable
e-waste,224.09,40.36,17.26,0,0,hazardous
glass,189.9,67.87,14.53,1,1,recyclable
organic,45.26,42.09,20.96,1,0,organic
paper,5.0,96.14,9.79,0,1,recyclable
paper,162.52,59.93,16.22,0,1,recyclable
e-waste,74.39,80.75,3.07,0,0,hazardous
organic,137.23,10.94,26.46,0,0,organic
metal,212.11,39.73,15.97,0,1,recyclable
organic,80.58,33.68,10.52,0,0,organic
metal,97.35,56.95,10.7,0,1,recyclable
organic,136.6,86.11,10.76,0,0,organic
organic,42.15,7.83,21.2,0,0,organic
plastic,74.53,7.26,16.49,0,1,recyclable
paper,121.49,85.03,9.78,0,1,recyclable
organic,101.97,21.29,5.81,1,0,organic
e-waste,156.5,66.88,17.98,0,0,hazardous
organic,285.96,54.29,16.19,1,0,organic
glass,125.95,83.29,15.53,1,1,recyclable
paper,69.5,12.51,11.58,1,1,recyclable
glass,205.09,12.98,10.5,0,1,recyclable
paper,24.67,55.68,20.43,0,1,recyclable
glass,36.67,94.64,20.89,1,1,recyclable
organic,84.29,41.5,15.2,0,0,organic
organic,103.03,32.69,16.85,0,0,organic
plastic,82.86,60.67,13.18,1,1,recyclable
